ID,Movie Names,Year,Genere,Rating
0,The Flash,2023,"Action, Adventure, Science Fiction",6.9
1,Barbie,2023,"Comedy, Adventure, Fantasy",7.6
2,Transformers: Rise of the Beasts,2023,"Action, Adventure, Science Fiction",7.5
3,The Little Mermaid,2023,"Adventure, Family, Fantasy, Romance",6.4
4,"Ruby Gillman, Teenage Kraken",2023,"Animation, Family, Fantasy, Comedy",7.8
5,Guardians of the Galaxy Vol. 3,2023,"Science Fiction, Adventure, Action",8.1
6,Fast X,2023,"Action, Crime, Thriller",7.3
7,Warhorse One,2023,"Action, Drama, War",7.2
8,Oppenheimer,2023,"Drama, History",8.4
9,Sound of Freedom,2023,"Action, Drama",8
10,Knights of the Zodiac,2023,"Fantasy, Action, Adventure",6.6
11,The Super Mario Bros. Movie,2023,"Animation, Family, Adventure, Fantasy, Comedy",7.8
12,Elemental,2023,"Animation, Comedy, Family, Fantasy, Romance",7.6
13,Spider-Man: Across the Spider-Verse,2023,"Action, Adventure, Animation, Science Fiction",8.5
14,John Wick: Chapter 4,2023,"Action, Thriller, Crime",7.8
15,Insidious: The Last Key,2018,"Horror, Mystery, Thriller",6.3
16,Fresh,2022,"Horror, Thriller, Comedy",7
17,Quicksand,2023,"Thriller, Horror",0
18,God Is a Bullet,2023,"Action, Crime, Horror",6.3
19,Insidious: The Red Door,2023,"Horror, Mystery, Thriller",6
20,San Andreas,2015,"Action, Drama, Thriller",6.2
21,The Darkest Minds,2018,"Action, Adventure, Drama",7
22,The Conjuring: The Devil Made Me Do It,2021,"Horror, Mystery, Thriller",7.5
23,The Out-Laws,2023,"Romance, Action, Comedy",6.2
24,Avatar: The Way of Water,2022,"Science Fiction, Adventure, Action",7.7
25,Extraction 2,2023,"Action, Thriller",7.6
26,Sheroes,2023,"Action, Comedy, Crime, Adventure",6.4
27,Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller",7.8
28,Meg 2: The Trench,2023,"Action, Science Fiction, Horror",7.3
29,Confidential Informant,2023,"Mystery, Thriller, Action",6.5
30,Little Bone Lodge,2023,"Horror, Crime, Thriller",7.5
31,War of the Worlds: The Attack,2023,"Science Fiction, Mystery, Thriller",6.5
32,The Black Demon,2023,"Horror, Thriller",6.4
33,Justice League: Warworld,2023,"Animation, Action, Science Fiction",7.9
34,Guy Ritchie's The Covenant,2023,"War, Action, Thriller",7.8
35,Shadow Master,2022,"Action, Fantasy, Thriller",6.8
36,Puss in Boots: The Last Wish,2022,"Animation, Family, Fantasy, Adventure, Comedy, Action",8.3
37,Mortal Kombat Legends: Scorpion's Revenge,2020,"Animation, Action, Fantasy",8.2
38,Hypnotic,2023,"Mystery, Thriller, Science Fiction",6.5
39,The Pope's Exorcist,2023,"Horror, Thriller",7.2
40,A Good Day to Die Hard,2013,"Action, Thriller",5.3
41,Evil Dead Rise,2023,"Thriller, Horror",7
42,Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Science Fiction",6.5
43,Aged,2023,Horror,0
44,After Ever Happy,2022,"Romance, Drama",6.8
45,Mortal Kombat Legends: Battle of the Realms,2021,"Animation, Action, Fantasy",7.8
46,After,2019,"Romance, Drama",7.1
47,Skinamarink,2023,Horror,5.9
48,The Meg,2018,"Action, Science Fiction, Horror",6.2
49,Shazam! Fury of the Gods,2023,"Comedy, Action, Fantasy",6.7
50,Talk to Me,2023,"Horror, Thriller",7.2
51,The Wrath of Becky,2023,"Action, Horror, Thriller",6.7
52,Run Rabbit Run,2023,"Horror, Thriller",5.3
53,The Venture Bros.: Radiant is the Blood of the Baboon Heart,2023,"Animation, Action, Adventure, Comedy, Science Fiction",7
54,Indiana Jones and the Dial of Destiny,2023,"Adventure, Action, Fantasy",6.6
55,Encanto,2021,"Animation, Comedy, Family, Fantasy",7.6
56,After We Collided,2020,"Romance, Drama",7.2
57,Bed Rest,2022,Horror,6.6
58,After We Fell,2021,"Romance, Drama",7.1
59,Scream VI,2023,"Horror, Thriller, Mystery",7.2
60,Creed III,2023,"Drama, Action",7.2
61,Spider-Man: No Way Home,2021,"Action, Adventure, Science Fiction",8
62,Eradication,2022,"Horror, Thriller",6.3
63,Hidden Strike,2023,"Action, Adventure, Thriller",7.2
64,After Everything,2023,"Romance, Drama",0
65,The Lorax,2012,"Animation, Family",6.5
66,Black Panther: Wakanda Forever,2022,"Action, Adventure, Science Fiction",7.2
67,Nimona,2023,"Animation, Adventure, Fantasy",8
68,To End All War: Oppenheimer & the Atomic Bomb,2023,"Documentary, History",8.6
69,Garfield,2004,"Animation, Comedy, Family",5.7
70,Black Adam,2022,"Action, Adventure, Science Fiction",7
71,Haunted Mansion,2023,"Comedy, Fantasy, Horror",7
72,PAW Patrol: The Movie,2021,"Animation, Family, Adventure, Comedy",7.4
73,Scooby-Doo! The Mystery Begins,2009,"Mystery, Comedy, Fantasy",6.4
74,Ghosted,2023,"Action, Comedy, Romance",7.1
75,Spider-Man: Into the Spider-Verse,2018,"Action, Adventure, Animation, Science Fiction",8.4
76,They Cloned Tyrone,2023,"Comedy, Science Fiction, Mystery",7
77,Plane,2023,"Action, Adventure, Thriller",7
